question,answer,source,focus_area,q_word_len,a_word_len
What are the treatments for Maffucci syndrome ?,These resources address the diagnosis or management of Maffucci syndrome:  - Genetic Testing Registry: Maffucci syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,Maffucci syndrome,8,47
What is the outlook for Myotonia Congenita ?,"Most individuals with myotonia congenita lead long, productive lives. Although muscle stiffness may interfere with walking, grasping, chewing, and swallowing, it is usually relieved with exercise.",NINDS,Myotonia Congenita,8,26
How to diagnose Alzheimer's Disease ?,The time from diagnosis of Alzheimers disease to death varies. It can be as little as 3 or 4 years if the person is over 80 years old when diagnosed or as long as 10 years or more if the person is younger.,NIHSeniorHealth,Alzheimer's Disease,6,43
Is familial acute myeloid leukemia with mutated CEBPA inherited ?,"Familial acute myeloid leukemia with mutated CEBPA is inherited in an autosomal dominant pattern. Autosomal dominant inheritance means that one copy of the altered CEBPA gene in each cell is sufficient to cause the disorder. Most affected individuals also acquire a second, somatic CEBPA gene mutation in their leukemia cells.",GHR,familial acute myeloid leukemia with mutated CEBPA,10,50
What are the treatments for Frontotemporal Dementia ?,"No treatment has been shown to slow the progression of FTD. Behavior modification may help control unacceptable or dangerous behaviors. Aggressive, agitated, or dangerous behaviors could require medication. Anti-depressants have been shown to improve some symptoms.",NINDS,Frontotemporal Dementia,8,36
How many people are affected by ADCY5-related dyskinesia ?,The prevalence of ADCY5-related dyskinesia is unknown. At least 50 affected individuals have been described in the medical literature.,GHR,ADCY5-related dyskinesia,9,19
What causes Danon disease ?,What causes Danon disease? Danon disease is caused by mutation in the LAMP2 gene. LAMP2 stands for lysosomal-associated membrane protein 2.,GARD,Danon disease,5,21
How many people are affected by MyD88 deficiency ?,The prevalence of MyD88 deficiency is unknown. At least 24 affected individuals have been described in the medical literature.,GHR,MyD88 deficiency,9,19
What are the treatments for Leukonychia totalis ?,"How might leukonychia totalis be treated? There is no universally successful treatment for the whitening of the nails in people with leukonychia totalis. However, if the condition is known to have an underlying cause, treating that cause (when possible) may improve the condition.",GARD,Leukonychia totalis,8,43
What is the outlook for Dysgraphia ?,"Some individuals with dysgraphia improve their writing ability, but for others, the disorder persists.",NINDS,Dysgraphia,7,14
What are the treatments for autosomal dominant hypocalcemia ?,These resources address the diagnosis or management of autosomal dominant hypocalcemia:  - Genetic Testing Registry: Autosomal dominant hypocalcemia   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,autosomal dominant hypocalcemia,9,49
what research (or clinical trials) is being done for Leigh's Disease ?,"The NINDS supports and encourages a broad range of basic and clinical research on neurogenetic disorders such as Leigh's disease. The goal of this research is to understand what causes these disorders and then to apply these findings to new ways to diagnose, treat, and prevent them.",NINDS,Leigh's Disease,12,47
How many people are affected by medium-chain acyl-CoA dehydrogenase deficiency ?,"In the United States, the estimated incidence of MCAD deficiency is 1 in 17,000 people. The condition is more common in people of northern European ancestry than in other ethnic groups.",GHR,medium-chain acyl-CoA dehydrogenase deficiency,11,31
How many people are affected by thanatophoric dysplasia ?,"This condition occurs in 1 in 20,000 to 50,000 newborns. Type I thanatophoric dysplasia is more common than type II.",GHR,thanatophoric dysplasia,9,20
What are the treatments for Warthin tumor ?,"How might Warthin tumor be treated? Treatment of Warthin tumor generally includes surgery to remove the tumor or careful observation to watch for changes in the tumor over time. Because Warthin tumor is almost always benign, additional treatment (i.e. radiation therapy and/or chemotherapy) is rarely needed.",GARD,Warthin tumor,8,46
What are the treatments for Sandhoff Disease ?,There is no specific treatment for Sandhoff disease. Supportive treatment includes proper nutrition and hydration and keeping the airway open. Anticonvulsants may initially control seizures.,NINDS,Sandhoff Disease,8,25
What are the treatments for Bell's palsy ?,How might Bell's palsy be treated?,GARD,Bell's palsy,8,6
How many people are affected by phosphoglycerate kinase deficiency ?,Phosphoglycerate kinase deficiency appears to be a rare disorder. About 30 families with affected members have been reported in the scientific literature.,GHR,phosphoglycerate kinase deficiency,10,22
What causes Diabetic mastopathy ?,"What causes diabetic mastopathy? The cause of diabetic mastopathy is unknown. Theories include an autoimmune reaction, genetic factors such as human leukocyte antigen (HLA) type, association with insulin therapy, and association with hyperglycemia.",GARD,Diabetic mastopathy,5,33
What are the treatments for High Blood Cholesterol ?,There are two main ways to lower your cholesterol: Therapeutic Lifestyle Changes and medicines.,NIHSeniorHealth,High Blood Cholesterol,9,14
What is (are) Depression ?,"Depression is more than just feeling blue or sad. It is an illness. When you have depression, it interferes with daily life and normal functioning, and causes pain for both you and those who care about you.",NIHSeniorHealth,Depression,5,37
what research (or clinical trials) is being done for Orthostatic Hypotension ?,The NINDS supports research on conditions such as neurogenic orthostatic hypotension aimed at increasing scientific understanding of the condition and finding ways to treat and prevent it.,NINDS,Orthostatic Hypotension,12,27
What is (are) Aniridia ?,"References National LIbrary of Medicine. Aniridia. Genetics Home Reference. June 2009; http://ghr.nlm.nih.gov/condition/aniridia. Accessed 3/30/2011. Hingorani M, Moore A. Aniridia. GeneReviews. August 12, 2008; http://www.ncbi.nlm.nih.gov/books/NBK1360/. Accessed 3/30/2011.",GARD,Aniridia,5,26
What is the outlook for Neuroacanthocytosis ?,"Neuroacanthocytosis is a progressive disease, and in some cases may be complicated by poor nutritional status, cardiac abnormalities, and pneumonia.",NINDS,Neuroacanthocytosis,7,20
Is multiple lentigines syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,multiple lentigines syndrome,6,26
How many people are affected by Axenfeld-Rieger syndrome ?,"Axenfeld-Rieger syndrome has an estimated prevalence of 1 in 200,000 people.",GHR,Axenfeld-Rieger syndrome,9,11
How many people are affected by multiple sulfatase deficiency ?,Multiple sulfatase deficiency is estimated to occur in 1 per million individuals worldwide. Approximately 50 cases have been reported in the scientific literature.,GHR,multiple sulfatase deficiency,10,23
How many people are affected by cystinosis ?,"Cystinosis affects approximately 1 in 100,000 to 200,000 newborns worldwide. The incidence is higher in the province of Brittany, France, where the disorder affects 1 in 26,000 individuals.",GHR,cystinosis,8,28
How many people are affected by arginine:glycine amidinotransferase deficiency ?,The prevalence of arginine:glycine amidinotransferase deficiency is unknown. The disorder has been identified in only a few families.,GHR,arginine:glycine amidinotransferase deficiency,10,18
What are the treatments for Menkes Disease ?,Treatment with daily copper injections may improve the outcome in Menkes disease if it begins within days after birth. Other treatment is symptomatic and supportive.,NINDS,Menkes Disease,8,25
Is congenital contractural arachnodactyly inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,congenital contractural arachnodactyly,6,26
Is Cold urticaria inherited ?,Is cold urticaria inherited? Cold urticaria is not thought to be inherited. Most cases occur sporadically in people with no family history of the condition.,GARD,Cold urticaria,5,25
How many people are affected by granulomatosis with polyangiitis ?,"GPA is a rare disorder that affects an estimated 3 in 100,000 people in the United States.",GHR,granulomatosis with polyangiitis,10,17
How many people are affected by acral peeling skin syndrome ?,"Acral peeling skin syndrome is a rare condition, with several dozen cases reported in the medical literature. However, because its signs and symptoms tend to be mild and similar to those of other skin disorders, the condition is likely underdiagnosed.",GHR,acral peeling skin syndrome,11,40
